Team A0 1,Team B0 7
Team A1 7,Team B1 9
Team A2 1,Team B2 8
Team A3 5,Team B3 0
Team A4 6,Team B4 0
Team A5 4,Team B5 1
Team A6 2,Team B6 9
Team A7 8,Team B7 4
Team A8 1,Team B8 5
Team A9 7,Team B9 6
Team A10 5,Team B10 6
Team A11 8,Team B11 8
Team A12 7,Team B12 7
Team A13 7,Team B13 8
Team A14 0,Team B14 5
Team A15 1,Team B15 8
Team A16 7,Team B16 1
Team A17 9,Team B17 6
Team A18 7,Team B18 1
Team A19 5,Team B19 6
Team A20 3,Team B20 0
Team A21 4,Team B21 3
Team A22 3,Team B22 7
Team A23 8,Team B23 4
Team A24 9,Team B24 3
Team A25 7,Team B25 1
Team A26 9,Team B26 9
Team A27 0,Team B27 5
Team A28 8,Team B28 8
Team A29 3,Team B29 5
Team A30 1,Team B30 0
Team A31 5,Team B31 6
Team A32 6,Team B32 8
Team A33 1,Team B33 2
Team A34 3,Team B34 6
Team A35 3,Team B35 6
Team A36 2,Team B36 8
Team A37 7,Team B37 4
Team A38 7,Team B38 3
Team A39 6,Team B39 0
Team A40 3,Team B40 3
Team A41 7,Team B41 3
Team A42 1,Team B42 9
Team A43 3,Team B43 3
Team A44 1,Team B44 2
Team A45 8,Team B45 6
Team A46 6,Team B46 7
Team A47 0,Team B47 3
Team A48 2,Team B48 3
Team A49 5,Team B49 8
Team A50 5,Team B50 1
Team A51 5,Team B51 7
Team A52 7,Team B52 0
Team A53 0,Team B53 5
Team A54 0,Team B54 2
Team A55 8,Team B55 3
Team A56 1,Team B56 2
Team A57 4,Team B57 7
Team A58 7,Team B58 7
Team A59 1,Team B59 4
Team A60 6,Team B60 2
Team A61 1,Team B61 9
Team A62 6,Team B62 0
Team A63 3,Team B63 6
Team A64 9,Team B64 1
Team A65 2,Team B65 5
Team A66 5,Team B66 0
Team A67 7,Team B67 9
Team A68 8,Team B68 8
Team A69 4,Team B69 3
Team A70 4,Team B70 7
Team A71 2,Team B71 2
Team A72 6,Team B72 9
Team A73 0,Team B73 6
Team A74 1,Team B74 6
Team A75 0,Team B75 1
Team A76 4,Team B76 4
Team A77 5,Team B77 3
Team A78 1,Team B78 0
Team A79 2,Team B79 8
Team A80 7,Team B80 1
Team A81 8,Team B81 4
Team A82 2,Team B82 3
Team A83 2,Team B83 8
Team A84 3,Team B84 8
Team A85 6,Team B85 0
Team A86 5,Team B86 0
Team A87 4,Team B87 2
Team A88 7,Team B88 5
Team A89 1,Team B89 9
Team A90 0,Team B90 3
Team A91 0,Team B91 9
Team A92 0,Team B92 3
Team A93 0,Team B93 4
Team A94 7,Team B94 0
Team A95 5,Team B95 2
Team A96 9,Team B96 0
Team A97 8,Team B97 6
Team A98 5,Team B98 6
Team A99 0,Team B99 6
Team A100 9,Team B100 2
Team A101 1,Team B101 7
Team A102 6,Team B102 0
Team A103 9,Team B103 2
Team A104 7,Team B104 2
Team A105 8,Team B105 1
Team A106 3,Team B106 8
Team A107 8,Team B107 6
Team A108 9,Team B108 7
Team A109 7,Team B109 2
Team A110 5,Team B110 1
Team A111 3,Team B111 5
Team A112 7,Team B112 3
Team A113 0,Team B113 6
Team A114 6,Team B114 2
Team A115 0,Team B115 0
Team A116 2,Team B116 9
Team A117 1,Team B117 0
Team A118 0,Team B118 9
Team A119 4,Team B119 4
Team A120 0,Team B120 1
Team A121 1,Team B121 7
Team A122 6,Team B122 0
Team A123 9,Team B123 7
Team A124 3,Team B124 1
Team A125 4,Team B125 5
Team A126 9,Team B126 5
Team A127 9,Team B127 4
Team A128 0,Team B128 2
Team A129 0,Team B129 0
Team A130 4,Team B130 3
Team A131 5,Team B131 3
Team A132 1,Team B132 0
Team A133 4,Team B133 9
Team A134 0,Team B134 6
Team A135 8,Team B135 2
Team A136 4,Team B136 5
Team A137 4,Team B137 7
Team A138 4,Team B138 3
Team A139 6,Team B139 8
Team A140 2,Team B140 0
Team A141 2,Team B141 1
Team A142 7,Team B142 1
Team A143 5,Team B143 2
Team A144 9,Team B144 2
Team A145 9,Team B145 1
Team A146 1,Team B146 5
Team A147 1,Team B147 3
Team A148 3,Team B148 6
Team A149 9,Team B149 7
Team A150 8,Team B150 8
Team A151 8,Team B151 3
Team A152 4,Team B152 4
Team A153 5,Team B153 4
Team A154 6,Team B154 7
Team A155 6,Team B155 7
Team A156 4,Team B156 8
Team A157 9,Team B157 6
Team A158 3,Team B158 4
Team A159 7,Team B159 7
Team A160 4,Team B160 9
Team A161 1,Team B161 6
Team A162 3,Team B162 8
Team A163 6,Team B163 6
Team A164 7,Team B164 2
Team A165 6,Team B165 1
Team A166 5,Team B166 2
Team A167 9,Team B167 8
Team A168 7,Team B168 0
Team A169 9,Team B169 8
Team A170 9,Team B170 1
Team A171 2,Team B171 8
Team A172 5,Team B172 1
Team A173 3,Team B173 0
Team A174 0,Team B174 1
Team A175 5,Team B175 6
Team A176 9,Team B176 6
Team A177 6,Team B177 5
Team A178 0,Team B178 4
Team A179 7,Team B179 7
Team A180 8,Team B180 5
Team A181 3,Team B181 0
Team A182 8,Team B182 1
Team A183 5,Team B183 8
Team A184 4,Team B184 2
Team A185 3,Team B185 2
Team A186 3,Team B186 2
Team A187 3,Team B187 8
Team A188 7,Team B188 6
Team A189 8,Team B189 3
Team A190 1,Team B190 4
Team A191 6,Team B191 0
Team A192 1,Team B192 2
Team A193 7,Team B193 2
Team A194 4,Team B194 3
Team A195 0,Team B195 6
Team A196 7,Team B196 2
Team A197 4,Team B197 1
Team A198 3,Team B198 8
Team A199 6,Team B199 5
Team A200 2,Team B200 5
Team A201 4,Team B201 6
Team A202 9,Team B202 4
Team A203 0,Team B203 4
Team A204 9,Team B204 7
Team A205 4,Team B205 7
Team A206 3,Team B206 4
Team A207 5,Team B207 0
Team A208 9,Team B208 4
Team A209 5,Team B209 9
Team A210 1,Team B210 1
Team A211 1,Team B211 5
Team A212 9,Team B212 3
Team A213 5,Team B213 2
Team A214 2,Team B214 5
Team A215 7,Team B215 2
Team A216 3,Team B216 7
Team A217 9,Team B217 7
Team A218 0,Team B218 5
Team A219 6,Team B219 4
Team A220 4,Team B220 3
Team A221 4,Team B221 2
Team A222 3,Team B222 4
Team A223 0,Team B223 0
Team A224 5,Team B224 4
Team A225 3,Team B225 0
Team A226 9,Team B226 7
Team A227 5,Team B227 1
Team A228 8,Team B228 8
Team A229 4,Team B229 9
Team A230 4,Team B230 1
Team A231 7,Team B231 6
Team A232 0,Team B232 1
Team A233 7,Team B233 1
Team A234 9,Team B234 8
Team A235 0,Team B235 4
Team A236 1,Team B236 0
Team A237 3,Team B237 6
Team A238 6,Team B238 5
Team A239 0,Team B239 2
Team A240 3,Team B240 4
Team A241 9,Team B241 5
Team A242 6,Team B242 1
Team A243 4,Team B243 3
Team A244 6,Team B244 7
Team A245 8,Team B245 3
Team A246 5,Team B246 6
Team A247 9,Team B247 0
Team A248 4,Team B248 0
Team A249 6,Team B249 0
Team A250 1,Team B250 4
Team A251 9,Team B251 6
Team A252 3,Team B252 5
Team A253 1,Team B253 2
Team A254 9,Team B254 4
Team A255 1,Team B255 4
Team A256 1,Team B256 0
Team A257 5,Team B257 8
Team A258 4,Team B258 0
Team A259 6,Team B259 9
Team A260 2,Team B260 6
Team A261 3,Team B261 6
Team A262 2,Team B262 1
Team A263 5,Team B263 7
Team A264 3,Team B264 7
Team A265 8,Team B265 2
Team A266 9,Team B266 5
Team A267 3,Team B267 0
Team A268 7,Team B268 4
Team A269 2,Team B269 8
Team A270 7,Team B270 7
Team A271 9,Team B271 2
Team A272 6,Team B272 9
Team A273 4,Team B273 6
Team A274 4,Team B274 9
Team A275 3,Team B275 2
Team A276 4,Team B276 9
Team A277 0,Team B277 9
Team A278 3,Team B278 0
Team A279 4,Team B279 5
Team A280 1,Team B280 3
Team A281 1,Team B281 8
Team A282 7,Team B282 4
Team A283 2,Team B283 3
Team A284 1,Team B284 0
Team A285 5,Team B285 0
Team A286 2,Team B286 2
Team A287 1,Team B287 8
Team A288 1,Team B288 7
Team A289 2,Team B289 5
Team A290 6,Team B290 2
Team A291 3,Team B291 5
Team A292 9,Team B292 0
Team A293 4,Team B293 8
Team A294 0,Team B294 7
Team A295 2,Team B295 4
Team A296 0,Team B296 2
Team A297 8,Team B297 6
Team A298 6,Team B298 6
Team A299 5,Team B299 8
Team A300 2,Team B300 3
Team A301 1,Team B301 1
Team A302 3,Team B302 9
Team A303 3,Team B303 0
Team A304 7,Team B304 6
Team A305 1,Team B305 0
Team A306 8,Team B306 5
Team A307 1,Team B307 8
Team A308 8,Team B308 2
Team A309 5,Team B309 5
Team A310 1,Team B310 8
Team A311 6,Team B311 7
Team A312 4,Team B312 9
Team A313 3,Team B313 1
Team A314 1,Team B314 0
Team A315 2,Team B315 4
Team A316 4,Team B316 8
Team A317 3,Team B317 5
Team A318 8,Team B318 0
Team A319 0,Team B319 2
Team A320 0,Team B320 6
Team A321 9,Team B321 0
Team A322 4,Team B322 0
Team A323 1,Team B323 6
Team A324 1,Team B324 2
Team A325 0,Team B325 4
Team A326 3,Team B326 2
Team A327 8,Team B327 7
Team A328 3,Team B328 0
Team A329 3,Team B329 8
Team A330 1,Team B330 6
Team A331 8,Team B331 1
Team A332 7,Team B332 2
Team A333 7,Team B333 7
Team A334 4,Team B334 0
Team A335 7,Team B335 2
Team A336 5,Team B336 5
Team A337 8,Team B337 0
Team A338 4,Team B338 2
Team A339 2,Team B339 5
Team A340 4,Team B340 7
Team A341 3,Team B341 1
